Accession  no,Sex,Nutrition,Slaughter Group,Date of Birth,Slaughter Date,Days at Death,Sca_GLP,Sca_BG,Sca_SLC,Hum_GL,Hum_GLC,Hum_SD,Hum_Bd,Hum_BT,Hum_BFT,Hum_HT,Hum_HTC,Rad_GL,Rad_Bp,Rad_BFp,Rad_SDmm,Rad_Bd,Mtc_GL,Mtc_Bp,Mtc_BFp,Mtc_SD,Mtc_BFd,Mtc_WCM,Mtc_WCL,Mtc_Dem,Mtc_Del,Mtc_Dvm,Mtc_Dvl,Mtc_BdFus,Pel_SDpu,Pel_SDmmpu,Pel_MRDA,Fem_GL,Fem_GLC,Fem_TC,Fem_SD,Fem_Bd,Tib_GL,Tib_Bp,Tib_SDml,Tib_SDmin,Tib_Bd,Tib_Dd,Navcu_GB,Mtt_GL,Mtt_Bp,Mtt_BFp,Mtt_SD,Mtt_BFd,Mtt_WCM,Mtt_WCL,Mtt_Dem,Mtt_Del,Mtt_Dvm,Mtt_Dvl,Mtt_BdFus,Ast_GLl,Ast_Bd,Ast_Dl,Cal_GL,Cal_BS,Cal_C,Cal_C&D,Cal_GDde,Sca_coracoid_fus,Hum_prox_fus,Hum_dist_fus,Rad_prox_fus,Rad_dist_fus,Mtc_dist_fus,Pel_acetabulum_fus,Fem_caput_fus,Fem_gt_fus,Fem_dist_fus,Tib_prox_fus,Tib_dist_fus,Mtt_dist_fus,Cal_prox_fus,Pph_fore_int_fus,Pph_fore_ext_fus,Pph_dist_int_fus,Pph_dist_ext_fus,Mph_fore_int_fus,Mph_fore_ext_fus,Mph_dist_int_fus,Mph_dist_ext_fus
3501,Male,High,7,5/17/1996,15/11/1999,1277,35.49,21.38,22.39,143,126,16.87,32.26,29.11,29.02,19.3,15.4,145,33.54,29.3,19.52,32.17,111,24.36,22.82,14.96,26.31,12.1,11.8,10.69,9.7,15.77,15.1,26.78,7.82,9.75,7.77,172.5,167.5,20.67,17.91,39.58,193,42.62,15.88,12.27,26.24,21.03,24.02,117,20.52,20.33,12.07,24.53,11.45,10.6,9,8.28,15.49,14.21,24.11,28.51,18.86,15.53,55.99,15.82,13.64,22.92,22.91,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,na,na,na,na,na,na,na,na
3502,Castrate,High,3,5/5/1998,17/11/1999,561,33.33,21.35,20.38,143,128,15.27,33.13,31.06,30.94,19.49,15.52,153,33.07,30.84,17.51,31.3,118.5,23.94,23.48,15.28,25.75,11.9,11.35,10.87,10.19,16.27,15.74,28.56,7.06,10.5,6.39,174.5,173,22.13,16.83,40.44,200.5,42.75,15.43,11.64,26.9,21.93,24.37,124.5,20.92,20.65,12.83,24.75,11.3,10.8,10.1,9.66,16.08,15.23,25.78,29.75,19.76,16.79,58.24,17.53,12.98,23.62,23.52,fu,u,fu,fu,u,fo,fu,u,u,u,fg,fo,u,fg,fu,fu,fu,fu,fu,fu,fu,fu
3503,Castrate,High,7,5/9/1996,15/11/1999,1285,34.09,21.48,20.58,136.5,121,15.31,29.63,28.34,27.9,18.66,14.8,149,31.08,28.03,17.77,30.71,123.5,23.82,22.26,13.32,24.86,11.7,11.25,10.66,10.17,15.89,15.54,25.17,5.76,7.79,4.97,169.5,165.5,20.04,17.85,39.09,198,42.22,15.26,11.91,25.93,20.88,23.19,132,20.84,19.9,11.61,24.73,11.55,10.2,9.66,9.01,16.27,14.92,23.83,27.59,18.37,15.37,55.67,15.76,12.79,21.7,21.81,fu,fo,fu,fu,fo,fu,fu,fo,fo,fo,fg,fu,fu,fu,na,na,na,na,na,na,na,na
3504,Male,Low,1,23/05/99,17/11/1999,178,30.78,19.23,15.12,121.5,109.5,12.08,29.13,26.99,25.42,17.64,14.63,125,28.12,26.33,13.89,28.14,109,22.41,22,11.83,24.54,11.45,11,9.87,8.95,15.64,14.94,24.47,7.32,8.26,7.43,141,142.5,19.14,13.86,34.95,170,37.81,12.83,10.4,25.43,19.9,22.68,116.5,20.79,20.69,10.2,23.39,11.25,10.05,9.38,8.46,15.75,14.73,23.55,29.53,18.77,15.58,52.36,15.27,13.36,23.18,22.65,fo,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
3505,Female,High,7,5/15/1996,23/11/1999,1287,31.69,18.9,20.08,137,122,14.58,28.83,26.63,26.52,18.04,13.64,144,30.21,27.21,17.32,28.58,114,22.73,21.77,13.05,24.21,11.1,10.8,10.67,9.81,15.47,14.83,25.39,4.13,8.81,5.05,166,165,20.3,16.55,36.03,202.5,40.59,15.12,11.22,25.8,20.8,22.3,123.5,20.15,19.54,11.53,23.38,11,10,9.18,8.76,15.36,14.58,23.72,26.81,17.78,14.72,54.69,16.03,11.94,21.25,21.68,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3506,Castrate,Low,3,5/2/1998,17/11/1999,564,32.93,20.88,20.12,130.5,117.5,14.22,29.67,27.74,27.25,18.84,14.56,140,30.58,27.27,16.88,29.09,121,23.61,22.99,13.96,24.79,11.45,11.25,10.8,10.11,15.77,15.24,26.73,7.31,9.22,6.2,158,155.5,20.65,17.03,36.59,189,40.7,14.16,10.95,25.79,20.77,22.84,130,20.43,20.23,11.82,24.45,11.2,10.3,10.13,9.57,15.84,15.07,25,28.95,18.8,15.37,56.15,16.19,14.22,23.34,23.28,fu,u,fu,fu,u,u,fu,u,u,u,u,fo,u,u,fo,fo,fu,fu,fu,fu,fu,fu
3507,Male,High,5,5/11/1997,16/11/1999,919,35.68,21.38,21.77,152,135.5,16.9,33.38,31.56,31.35,20.69,15.17,161,34.23,31.13,19.09,32.05,129,25.88,24.64,15.09,26.3,12.35,11.9,11.45,10.65,17.47,16.8,27.27,8.91,11.68,7.88,182.5,182,21.92,18.81,41.64,218,44.55,16.13,12.94,27.52,23.1,24.79,138,22.22,21.77,12.9,25.2,11.9,10.85,10.7,10.16,17.67,16.71,24.93,29.72,19.92,16.67,58.24,18.05,13.25,23.15,23.52,fu,fo,fu,fu,fu,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3508,Male,High,5,5/13/1997,16/11/1999,917,35.02,22.07,22.45,139.5,123,16.54,31.97,29.33,29.22,19.42,15.26,150,33.26,29.82,18.86,32,118,24.74,23.62,15.43,26.52,12.1,11.7,11.48,9.96,16.49,15.6,27.02,8.86,9.57,7.71,167.5,164.5,21.5,18,40.61,195,43.29,15.75,11.84,27.15,21.13,23.67,124.5,21.19,20.46,12.53,25.55,11.7,10.2,10.13,9.04,16.41,15.07,24.85,29.09,19.36,16.42,56.24,16.73,13.16,23.33,23.47,fu,fo,fu,fu,fo,fu,fu,fo,fo,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3509,Female,High,5,4/30/1997,23/11/1999,937,31.22,19.24,18.18,133,121,14.5,30.16,28.24,28.19,18.97,14.33,148,30.74,28.71,17.08,28.82,119,21.97,21.19,13.71,24.76,11.5,11.1,10.66,10.08,15.79,15.08,24.92,5.38,8.31,4.07,166,165.5,20.33,16.52,36.94,193,39.96,14.85,11.59,26,20.1,23.11,127,19.81,19.59,11.47,23.74,10.9,10.05,9.66,9.35,15.65,14.91,23.67,26.89,17.93,15.22,52.64,16.25,12.98,21.73,21.43,fu,fo,fu,fu,fo,fu,fu,fu,fu,fo,fo,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu,fu
3510,Castrate,High,1,12/05/99,17/11/1999,189,31.47,20.12,15.78,118.5,110,12.4,29.91,28.29,26.37,17.99,14.64,124.5,29.32,27.45,14.52,28.67,107,22.72,22.36,11.62,25.07,11.7,11.3,10.93,10.31,15.85,15.19,26.12,7.23,8.19,7.85,143,144,19.91,13.78,35.38,170,38.56,12.87,10.27,26.76,21.1,22.4,115,19.69,19.56,10.33,24.02,11.6,10.35,9.98,9.71,15.67,14.91,24.2,27.89,17.68,16.01,51.69,15.65,13.21,22.02,22.93,fo,u,fo,fu,u,u,fo,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u
