"URI","Label","Project","Project URI","Item Category","Last Updated","Authorship","Latitude (WGS-84)","Longitude (WGS-84)","Geospatial note","Early Date (BCE/CE)","Late Date (BCE/CE)","Context URI","Context (1)","Context (2)","Context (3)","Context (4)","Has Biological Taxonomy [URI]","Has Biological Taxonomy [Label]","Has anatomical identification [URI]","Has anatomical identification [Label]","Has fusion character [Proximal URI]","Has fusion character [Proximal Label]","Has fusion character [Distal URI]","Has fusion character [Distal Label]","Has physiological sex determination [URI]","Has physiological sex determination [Label]","Sorting Number","Excavation Method","Mammal","Nisp","Weight (g)","Element","Spine Portion","Fusion Status","# Of Fragments","Lateral Present","Principle Author / Analyst","Side","Side (english)","Dorsal and Middle Present","Mollusk","Cranial Present","Mid-shaft Present","Proximal and Shaft Present","Medial Present","Proximal Present","Cranial Protion","Caudal Present","Aves","# Of Complete Bones","Stylopod","Burning- Grey","Dorsal Present","Mandibular Portion","Gb","Phalanx","Glpe","Bp","Tp","Ld","Bd","Body Size","Tal_gll","Tal_glm","Tal_tm","Tal_bd","Gl","V_pl","Distal Present","Shaft and Distal Present","Payne (1973) Mandible Wear Stage","Burning- Black","Bpc","Carpal/tarsal","Ventral Present","Tal_tl","Tooth Wear (grant)","Humerus Breadth Of Trochlea","Humerus Height Of Trochlea","Cox_la","Cox_kb","Cox_kh","Sex","Middle and Ventral Present","Cut Marks","Carnivore Gnawing","Part Burned","V_bfcr","V_bfcd","V_h","V_lcde","V_lapa","V_bpacd","V_kbw","Scap_klc","Td","Gldp4","Gbdp4","Glm1","Gbm1","U_hz_bas","Oroabohz","Dorsobhz","Glm3","Gbm3","Burning- Brown","Moll_gh","Cox_ku","Bfp","Scap_glp","Lg","Bg","Moll_gl","P3_dls","P3_ld","P3_mbs","Others","Bfd","Burning- White","Left","Dd","Cd","Pisces","Ulna Measurement Tpa","Ulna Measurement Kto","Scap_dha","Tc","Lop","Chopped"
"http://opencontext.org/subjects/7085AE03-A9E9-4E07-2EAD-D2A401CBC451","Bone 1","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-22","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0003268","tooth of lower jaw","","","","","","","1e-05","hand collected","Ovis/Capra","1.0","8.0","dens inf.","","","","","Alfred Galik","dext","right","","","","","","","","","","","1.0","","","","m3","","","","","","","","small","","","","","","","","","m3_4-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","8.9","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/DA229DFE-1B48-4418-69A8-AF6E3B134AD9","Bone 2","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-23","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0001684","mandible","","","","","","","2e-05","hand collected","Ovis/Capra","1.0","2.0","Mandibula","","","1.0","","Alfred Galik","sin","left","","","","","","","","","","","","","","","Processus condylaris","","","","","","","","small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/EDBDD390-DEA8-4E4C-5DAA-7353186E4962","Bone 3","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-23","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0001684","mandible","","","","","","","3e-05","hand collected","Ovis/Capra","1.0","3.0","Mandibula","","juv","1.0","","Alfred Galik","dext","right","","","","","","","","","","","","","","","Processus condylaris","","","","","","","","small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/AD0C8457-E3D4-40EF-581D-2589B3A5D710","Bone 4","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-23","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0003128","cranium","","","","","","","4e-05","hand collected","Ovis/Capra","1.0","2.0","cran. Fragm.","","Sutur_uf","1.0","","Alfred Galik","dext","right","","","","","","","","zygom","","","","","","","","","","","","","","","small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/BFD7A87A-48E7-4228-9D26-B6585A26BBDC","Bone 5","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-23","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0003128","cranium","","","","","","","5e-05","hand collected","Ovis/Capra","1.0","1.0","cran. Fragm.","","","1.0","","Alfred Galik","0","","","","","","","","","P.cornual.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/1FB5A5DF-AD86-445B-7EE5-F2FD05F78AF0","Bone 6","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-23","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0003128","cranium","","","","","","","6e-05","hand collected","Ovis/Capra","1.0","3.5","cran. Fragm.","","Sutur_uf","1.0","","Alfred Galik","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/4975B411-FA43-4DC4-6DC2-BDBF6FB16B00","Bone 7","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-22","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0003128","cranium","","","","","","","7e-05","hand collected","Ovis/Capra","1.0","3.0","cran. Fragm.","","Sutur_uf","1.0","","Alfred Galik","0","","","","","","","","","petrosum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/A6C035A3-EC67-4479-68DB-9507E3B1D28D","Bone 8","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-23","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0002414","lumbar vertebra","","","","","","","8e-05","hand collected","Ovis/Capra","1.0","1.0","Vert. lumb.","V.lumb.P.transv.","","1.0","","Alfred Galik","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/76392D9B-2BEB-4227-3D24-06ADB4D73C12","Bone 9","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-23","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0002414","lumbar vertebra","","","","","","","9e-05","hand collected","Ovis/Capra","1.0","2.0","Vert. lumb.","V.lumb.arcus","","1.0","","Alfred Galik","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/4E7B1CCE-2E76-4DD7-37B5-F956140F1363","Bone 10","Barçın Höyük Zooarchaeology","http://opencontext.org/projects/74749949-4FD4-4C3E-C830-5AA75703E08E","Animal Bone","2014-07-22","Alfred Galik","40.267036000000000000000","29.602058000000000000000","Best available location data","-6500","-6000","http://opencontext.org/subjects/DDE02DED-5A18-4743-D22C-2887BDDFD29C","Turkey","Barcın Höyük","Trench L11","Phase VIA or VIB","http://eol.org/pages/32609438","Sheep/goat","http://purl.obolibrary.org/obo/UBERON_0002228","rib","","","","","","","0.0001","hand collected","Ovis/Capra","1.0","2.5","Costa","C.vera","","1.0","","Alfred Galik","sin","left","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
