"URI","Label","Project","Project URI","Item Category","Last Updated","Authorship","Latitude (WGS-84)","Longitude (WGS-84)","Geospatial note","Early Date (BCE/CE)","Late Date (BCE/CE)","Context URI","Context (1)","Context (2)","Context (3)","Context (4)","Context (5)","Context (6)","Context (7)","Context (8)","Context (9)","Has Biological Taxonomy [URI]","Has Biological Taxonomy [Label]","Has anatomical identification [URI]","Has anatomical identification [Label]","Has physiological sex determination [URI]","Has physiological sex determination [Label]","Has fusion character [Proximal URI]","Has fusion character [Proximal Label]","Has fusion character [Distal URI]","Has fusion character [Distal Label]","Taxon","Element","Side","Reference","Species Comment","Age Data","Part","Size","Species","Sex","Mesh Size","Year","Retrieval Method","Observer","Retrieval %","Volume","Cutmarks","Fusion stages","Distal Fusion","Comments","Weight","Proximal Fusion","SDO (unfused)","DPA (unfused)","BPC (unfused)","Sample No","Number of Elements","GB","GL","DC","Species Certain","Bp","Age group","GL (unfused)","BPC","Bd","SD","Dp (unfused)","Bp (unfused)","Stratum","LG","GLP","BG","GB (unfused)","LF","HP","Ld","BF","GLm","GL1","Dm","Dl","DPA","Bd (unfused)","Dp","BFp","Dd (unfused)","Dd","LO (unfused)","SBV","DC (unfused)","b measurement","a measurement","H","BPC (unfused/neonate)","GH","LmT","BFd"
"http://opencontext.org/subjects/TESTSPA0000003725","Bone Ref# 1","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0000979","tibia","","","","","http://opencontext.org/vocabularies/open-context-zooarch/dist-epi-fused","Distal epiphysis fused","Bos primigenius","Tibia","Right","1.0","Bos","Distal end fused","Distal end fragment",">10 cm","primigenius","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","distal fused","split longitudinally","191.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000005821","Bone Ref# 2","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/39510","Ovis","http://purl.obolibrary.org/obo/UBERON_0001092","cervical vertebra 1","","","","","","","Ovis sp.","Atlas","NA","2.0","Ovis","Fused","Almost Complete","5-10 cm","Unknown","Female ?","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","","61.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003969","Bone Ref# 3","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/328649","Cervus elaphus Linnaeus, 1758","http://purl.obolibrary.org/obo/UBERON_0006849","scapula","","","","","http://opencontext.org/vocabularies/open-context-zooarch/dist-epi-fused","Distal epiphysis fused","Cervus elaphus","Scapula","Left","3.0","Cervid","Fused","Distal end fragment","5-10 cm","Unknown","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","distal fused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003652","Bone Ref# 4","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0001479","sesamoid bone","","","","","","","Bos primigenius","Sesamoid Bone","NA","4.0","Bos","","Complete Proximal bone","2-5 cm","primigenius","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000004121","Bone Ref# 5","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/1670; http://eol.org/pages/15580","Equidae; Equus","http://purl.obolibrary.org/obo/UBERON_0003268","tooth of lower jaw","","","","","","","Equus sp.","Mandibular Tooth","Right","5.0","Equus","High crowned","Fragment M1 or M2","5-10 cm","Unknown","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","","26.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000004122","Bone Ref# 6","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/1670; http://eol.org/pages/15580","Equidae; Equus","http://purl.obolibrary.org/obo/UBERON_0003267","tooth of upper jaw","","","","","","","Equus sp.","Maxillary Tooth","Right","6.0","Equus","High crowned","Fragment","5-10 cm","Unknown","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003653","Bone Ref# 7","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0001447","tarsal bone","","","","","","","Bos primigenius","Tarsal Bone","Left","7.0","Bos ?","","Complete lateral malleolus","2-5 cm","primigenius","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","","18.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000004662","Bone Ref# 8","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","","","http://purl.obolibrary.org/obo/UBERON_0001272","innominate bone","","","","","","","Not Identifiable","Innominate","Right","8.0","Not Identifiable","Unfused","Fragment of ischium","2-5 cm","Unknown","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003654","Bone Ref# 9","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0001435","carpal bone","","","","","","","Bos primigenius","Carpal Bone","Left","9.0","Bos","","Intermediate Carpal Bone Amost Complete","2-5 cm","primigenius","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","","29.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://opencontext.org/subjects/TESTSPA0000003655","Bone Ref# 10","Pınarbaşı 1994: Animal Bones","http://opencontext.org/projects/TESTPRJ0000000004","Animal Bone","2014-07-23","Denise Carruthers","37.493962000000000000000","33.016928000000000000000","Best available location data","-12500","-7500","http://opencontext.org/subjects/TESTSPA0000003432","Turkey","Pınarbaşı","Site A","Stratum 6","Context ABU","","","","","http://eol.org/pages/11021570","Bos primigenius","http://purl.obolibrary.org/obo/UBERON_0001435","carpal bone","","","","","","","Bos primigenius","Carpal Bone","Right","10.0","Bos","Adult?","Neonatal because born with III & IV fused","2-5 cm","primigenius","","5","PB 94","Floatation","Denise Carruthers","100.0","280.0","","","","Sliced through middle","18.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
