"ID","Site","Specimen_No","Element","Element_Portion","Immature","N"
"Barcin Bone 541","Barcin",57,"Rad_prox",10,1,1
"Barcin Bone 542","Barcin",58,"Rad_dist",9,1,1
"Barcin Bone 988","Barcin",67,"Rad_prox",10,1,1
"Barcin Bone 1351","Barcin",4,"Mtc_prox",4,0,1
"Barcin Bone 1665","Barcin",10,"Mtc_prox",4,1,1
"Barcin Bone 2919","Barcin",29,"Mtc_prox",4,1,1
"Barcin Bone 673","Barcin",64,"Mtc_dist",3,1,1
"Barcin Bone 1299","Barcin",3,"Mtc_dist",3,0,1
"Barcin Bone 245","Barcin",23,"Tib_dist",11,1,1
"Barcin Bone 668","Barcin",61,"Tib_dist",11,0,1
"Barcin Bone 1367","Barcin",6,"Tib_dist",11,1,1
"Barcin Bone 1975","Barcin",15,"Tib_dist",11,0,1
"Barcin Bone 166","Barcin",9,"Mtt_prox",6,1,1
"Barcin Bone 1796","Barcin",14,"Mtt_prox",6,1,1
"Barcin Bone 2775","Barcin",25,"Mtt_prox",6,1,1
"Barcin Bone 3563","Barcin",45,"Mtt_prox",6,1,1
"Barcin Bone 1782","Barcin",12,"Mtt_dist",5,0,1
"Barcin Bone 2432","Barcin",20,"Mtt_dist",5,1,1
"Barcin Bone 2659","Barcin",24,"Mtt_dist",5,0,1
"Barcin Bone 3406","Barcin",38,"Mtt_dist",5,0,1
"Barcin Bone 3564","Barcin",46,"Mtt_dist",5,0,1
"Barcin Bone 284","Barcin",27,"Ast",1,1,1
"Barcin Bone 309","Barcin",32,"Ast",1,1,1
"Barcin Bone 2181","Barcin",17,"Ast",1,1,1
"Barcin Bone 2442","Barcin",22,"Ast",1,1,1
"Barcin Bone 2934","Barcin",30,"Ast",1,1,1
"Barcin Bone 106","Barcin",2,"PH1",7,1,1
"Barcin Bone 431","Barcin",53,"PH1",7,0,1
"Barcin Bone 449","Barcin",56,"PH1",7,1,1
"Barcin Bone 558","Barcin",59,"PH1",7,1,1
"Barcin Bone 559","Barcin",60,"PH1",7,1,1
"Barcin Bone 717","Barcin",65,"PH1",7,0,1
"Barcin Bone 1670","Barcin",11,"PH1",7,0,1
"Barcin Bone 2182","Barcin",18,"PH1",7,0,1
"Barcin Bone 2344","Barcin",19,"PH1",7,0,1
"Barcin Bone 2776","Barcin",26,"PH1",7,1,1
"Barcin Bone 3241","Barcin",37,"PH1",7,1,1
"Barcin Bone 3413","Barcin",39,"PH1",7,0,1
"Barcin Bone 3414","Barcin",40,"PH1",7,1,1
"Barcin Bone 3445","Barcin",42,"PH1",7,0,1
"Barcin Bone 3603","Barcin",48,"PH1",7,1,1
"Barcin Bone 3627","Barcin",49,"PH1",7,1,1
"Barcin Bone 35","Barcin",44,"PH2",8,0,1
"Barcin Bone 90","Barcin",66,"PH2",8,1,1
"Barcin Bone 217","Barcin",16,"PH2",8,0,1
"Barcin Bone 310","Barcin",33,"PH2",8,0,1
"Barcin Bone 311","Barcin",35,"PH2",8,1,1
"Barcin Bone 432","Barcin",54,"PH2",8,0,1
"Barcin Bone 433","Barcin",55,"PH2",8,0,1
"Barcin Bone 671","Barcin",62,"PH2",8,1,1
"Barcin Bone 672","Barcin",63,"PH2",8,0,1
"Barcin Bone 1010","Barcin",1,"PH2",8,0,1
"Barcin Bone 1366","Barcin",5,"PH2",8,1,1
"Barcin Bone 1533","Barcin",7,"PH2",8,1,1
"Barcin Bone 1536","Barcin",8,"PH2",8,1,1
"Barcin Bone 2438","Barcin",21,"PH2",8,0,1
"Barcin Bone 2863","Barcin",28,"PH2",8,1,1
"Barcin Bone 2953","Barcin",31,"PH2",8,0,1
"Barcin Bone 3107","Barcin",34,"PH2",8,1,1
"Barcin Bone 3237","Barcin",36,"PH2",8,1,1
"Barcin Bone 3499","Barcin",43,"PH2",8,0,1
"Barcin Bone 3629","Barcin",50,"PH2",8,1,1
"Barcin Bone 3651","Barcin",52,"PH2",8,0,1
"Barcin Bone 1783","Barcin",13,"Cal",2,1,1
"Barcin Bone 3442","Barcin",41,"Cal",2,1,1
"Barcin Bone 3567","Barcin",47,"Cal",2,1,1
"Barcin Bone 3646","Barcin",51,"Cal",2,0,1
