"ID","Site","Anatomy","Element","Proximal Fusion","Distal Fusion","Immature","Measure","Measurement_value","Measurement","Reference_value","Dimension","Element_Portion","Specimen_No"
"Barcin Bone 541","Barcin","radius bone","Rad_prox","","",1,"Bp",64,"Rad_Bp",100,11,10,57
"Barcin Bone 542","Barcin","radius bone","Rad_dist","","Distal epiphysis unfused",1,"Bd",60.6,"Rad_Bd",92,9,9,58
"Barcin Bone 988","Barcin","radius bone","Rad_prox","Proximal epiphysis fused","Distal epiphysis unfused",1,"BFp",80.7,"Rad_BFp",90,10,10,67
"Barcin Bone 1351","Barcin","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","Mtc_prox","","Distal epiphysis fused",0,"Bp",74.5,"Mtc_Bp",74,4,4,4
"Barcin Bone 1665","Barcin","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","Mtc_prox","","",1,"Bp",51.5,"Mtc_Bp",74,4,4,10
"Barcin Bone 2919","Barcin","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","Mtc_prox","","",1,"Bp",60.6,"Mtc_Bp",74,4,4,29
"Barcin Bone 673","Barcin","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","Mtc_dist","","Distal epiphysis unfused",1,"Bd",48.2,"Mtc_Bd",73,3,3,64
"Barcin Bone 1299","Barcin","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","Mtc_dist","","Distal epiphysis fused",0,"Bd",61.5,"Mtc_Bd",73,3,3,3
"Barcin Bone 245","Barcin","tibia","Tib_dist","","Distal epiphysis unfused",1,"Bd",48,"Tib_Bd",78,12,11,23
"Barcin Bone 668","Barcin","tibia","Tib_dist","","Distal epiphysis fused",0,"Bd",62.3,"Tib_Bd",78,12,11,61
"Barcin Bone 1367","Barcin","tibia","Tib_dist","","Distal epiphysis unfused",1,"Bd",59,"Tib_Bd",78,12,11,6
"Barcin Bone 1975","Barcin","tibia","Tib_dist","","Distal epiphysis fused",0,"Bd",70,"Tib_Bd",78,12,11,15
"Barcin Bone 166","Barcin","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","Mtt_prox","","Distal epiphysis unfused",1,"Bp",42,"Mtt_Bp",62,6,6,9
"Barcin Bone 1796","Barcin","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","Mtt_prox","","",1,"Bp",52.5,"Mtt_Bp",62,6,6,14
"Barcin Bone 2775","Barcin","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","Mtt_prox","","",1,"Bp",48.5,"Mtt_Bp",62,6,6,25
"Barcin Bone 3563","Barcin","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","Mtt_prox","","",1,"Bp",48.4,"Mtt_Bp",62,6,6,45
