"Element_Portion","Element","ID","Specimen_No","i.Element_Portion","Immature","Site","Taxon","Anatomy","Proximal Fusion","Distal Fusion"
11,"Tib_dist","Barcin Bone 19",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
11,"Tib_dist","Barcin Bone 20",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
7,"PH1","Barcin Bone 23",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 24",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
9,"Rad_dist","Barcin Bone 32",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis unfused"
8,"PH2","Barcin Bone 35",44,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 90",66,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 106",2,7,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
6,"Mtt_prox","Barcin Bone 142",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
6,"Mtt_prox","Barcin Bone 143",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
2,"Cal","Barcin Bone 145",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis unfused",""
6,"Mtt_prox","Barcin Bone 166",9,6,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis unfused"
11,"Tib_dist","Barcin Bone 203",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
6,"Mtt_prox","Barcin Bone 210",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
8,"PH2","Barcin Bone 217",16,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
11,"Tib_dist","Barcin Bone 245",23,11,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
1,"Ast","Barcin Bone 246",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
1,"Ast","Barcin Bone 276",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
3,"Mtc_dist","Barcin Bone 282",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis fused"
1,"Ast","Barcin Bone 283",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
1,"Ast","Barcin Bone 284",27,1,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
1,"Ast","Barcin Bone 292",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
10,"Rad_prox","Barcin Bone 300",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis fused",""
6,"Mtt_prox","Barcin Bone 306",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
2,"Cal","Barcin Bone 307",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis fused",""
2,"Cal","Barcin Bone 308",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis unfused",""
1,"Ast","Barcin Bone 309",32,1,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
8,"PH2","Barcin Bone 310",33,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 311",35,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
2,"Cal","Barcin Bone 339",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis fused",""
11,"Tib_dist","Barcin Bone 355",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
7,"PH1","Barcin Bone 358",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
8,"PH2","Barcin Bone 394",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
