"Specimen_No","Element","p_immature","p_female","p_male"
1,"Mtc_dist",0,0.82,0.18
2,"Mtt_dist",0,0.8,0.2
3,"Mtt_dist",0,0.26,0.74
4,"Mtc_dist",0,0.51,0.49
5,"Cal",0.86,0.06,0.08
6,"Rad_dist",0.58,0.22,0.2
7,"Rad_dist",0,0.82,0.18
8,"Hum",0.69,0.2,0.11
9,"Tib_prox",0.6,0.21,0.19
10,"PH1",0.76,0.13,0.1
11,"PH1",0.92,0.06,0.02
12,"PH1",0.77,0.16,0.07
13,"PH1",0.95,0.04,0.01
14,"PH1",0.89,0.09,0.02
15,"PH1",0.83,0.13,0.04
16,"PH1",0.95,0.04,0.01
17,"PH1",0.95,0.04,0.01
18,"PH1",0.95,0.04,0.01
19,"Ast",0.84,0.14,0.02
20,"Ast",0.74,0.19,0.07
21,"Ast",0.8,0.16,0.04
22,"Ast",0.62,0.21,0.17
23,"Cal",0.74,0.17,0.09
24,"Cal",0.94,0.05,0.01
25,"Mtt_dist",0,0.84,0.16
26,"Mtt_dist",0,0.83,0.17
27,"Tib_prox",0.63,0.22,0.14
28,"Cal",0.74,0.13,0.14
29,"Cal",0.75,0.11,0.14
30,"Cal",0.79,0.17,0.05
31,"Cal",0.94,0.06,0.01
32,"Cal",0.74,0.11,0.14
33,"Cal",0.91,0.08,0.01
34,"Ast",0.8,0.16,0.04
35,"Ast",0.7,0.2,0.1
36,"Ast",0.83,0.15,0.02
37,"Ast",0.59,0.21,0.2
38,"Ast",0.81,0.16,0.04
39,"Ast",0.74,0.19,0.07
40,"Tib_dist",0,0.64,0.36
41,"Tib_dist",0.86,0.12,0.02
42,"Tib_dist",0.83,0.14,0.03
43,"Mtt_prox",0.78,0.16,0.06
44,"Mtt_prox",0.88,0.1,0.01
