"Element Portion","Barcin Hoyuk","Neolithic Ilipinar","Chalcolithic Ilipinar","Mentese Hoyuk"
"Astragalus",5,19,14,15
"Calcaneus",4,13,13,1
"Femur (Distal)",0,5,3,0
"Femur (Proximal)",0,4,4,0
"Humerus",0,17,39,2
"Metacarpal (Distal)",2,6,28,0
"Metacarpal (Proximal)",3,19,9,3
"Metatarsal (Distal)",5,6,16,2
"Metatarsal (Proximal)",4,10,10,1
"First Phalanx",16,76,35,8
"Second Phalanx",21,49,29,14
"Radius (Distal)",1,8,22,0
"Radius (Proximal)",2,10,35,0
"Scapula",0,9,14,0
"Tibia (Distal)",4,9,21,0
"Tibia (Proximal)",0,2,4,0
"Total",67,262,296,46
