"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
0.34,0.34,0.04,0.27,0.41,1,3928,3135,"Barcin pi_1"
0.48,0.49,0.07,0.37,0.59,1,1566,2807,"Neolithic Ilipinar pi_1"
0.18,0.17,0.06,0.09,0.3,1,1457,2836,"Mentese pi_1"
0.13,0.13,0.02,0.1,0.17,1,3868,3520,"Chalcolithic Ilipinar pi_1"
0.72,0.72,0.08,0.58,0.85,1.01,830,1861,"Barcin pi_2"
0.14,0.14,0.08,0.02,0.28,1.01,767,1604,"Neolithic Ilipinar pi_2"
0.24,0.24,0.06,0.15,0.35,1,5014,3080,"Mentese pi_2"
0.6,0.6,0.08,0.47,0.73,1,2866,3255,"Chalcolithic Ilipinar pi_2"
0.16,0.15,0.06,0.06,0.27,1,1683,2551,"Barcin pi_3"
0.07,0.07,0.02,0.05,0.11,1,3012,2548,"Neolithic Ilipinar pi_3"
0.7,0.71,0.05,0.62,0.78,1,1518,2591,"Mentese pi_3"
0.23,0.22,0.05,0.15,0.31,1,1411,2527,"Chalcolithic Ilipinar pi_3"
-0.39,-0.39,0.03,-0.44,-0.33,1,2723,3325,"Barcin mu_1"
-0.23,-0.23,0.02,-0.27,-0.19,1,2282,3368,"Neolithic Ilipinar mu_1"
-0.24,-0.23,0.03,-0.29,-0.19,1,2333,2590,"Mentese mu_1"
-0.27,-0.27,0.02,-0.31,-0.23,1,2033,2681,"Chalcolithic Ilipinar mu_1"
-0.18,-0.18,0.02,-0.22,-0.14,1,1549,2733,"Barcin mu_2"
-0.21,-0.21,0.02,-0.24,-0.17,1,1966,2882,"Neolithic Ilipinar mu_2"
-0.2,-0.2,0.03,-0.24,-0.16,1,1932,2544,"Mentese mu_2"
-0.24,-0.25,0.02,-0.28,-0.21,1,1835,2489,"Chalcolithic Ilipinar mu_2"
-0.04,-0.04,0.03,-0.09,0.01,1,1595,2728,"Barcin mu_3"
-0.1,-0.11,0.03,-0.16,-0.04,1,1083,1517,"Neolithic Ilipinar mu_3"
-0.06,-0.06,0.04,-0.11,0,1,1893,2940,"Mentese mu_3"
-0.1,-0.1,0.02,-0.14,-0.06,1,1701,2663,"Chalcolithic Ilipinar mu_3"
0.06,0.06,0.01,0.04,0.09,1,2478,2761,"Barcin sigma_1"
0.08,0.07,0.02,0.05,0.1,1,2690,3250,"Neolithic Ilipinar sigma_1"
0.07,0.06,0.02,0.04,0.09,1,3212,3365,"Mentese sigma_1"
0.08,0.07,0.02,0.05,0.11,1,2517,3155,"Chalcolithic Ilipinar sigma_1"
0.04,0.04,0.01,0.02,0.06,1,1684,2163,"Barcin sigma_2"
0.07,0.07,0.01,0.05,0.08,1,2513,2926,"Neolithic Ilipinar sigma_2"
0.04,0.04,0.01,0.03,0.06,1,2003,2447,"Mentese sigma_2"
0.04,0.04,0.01,0.03,0.05,1,1148,2305,"Chalcolithic Ilipinar sigma_2"
0.04,0.04,0.01,0.03,0.06,1,1395,1141,"Barcin sigma_3"
0.04,0.04,0.01,0.03,0.06,1,2274,2770,"Neolithic Ilipinar sigma_3"
0.05,0.04,0.01,0.03,0.07,1,1870,2729,"Mentese sigma_3"
0.04,0.04,0.01,0.03,0.06,1,1236,2031,"Chalcolithic Ilipinar sigma_3"
