"Specimen_No","Site_No","Site","Element","p_immature","p_female","p_male"
1,1,"Barcin","PH2",0,0.99,0.01
2,1,"Barcin","PH1",1,0,0
3,1,"Barcin","Mtc_dist",0,0.95,0.05
4,1,"Barcin","Mtc_prox",0,0.05,0.95
5,1,"Barcin","PH2",0.99,0.01,0
6,1,"Barcin","Tib_dist",0.49,0.5,0.01
7,1,"Barcin","PH2",0.06,0.92,0.02
8,1,"Barcin","PH2",0.01,0.01,0.97
9,1,"Barcin","Mtt_prox",0.97,0.03,0
10,1,"Barcin","Mtc_prox",0.99,0.01,0
11,1,"Barcin","PH1",0,0.97,0.03
12,1,"Barcin","Mtt_dist",0,0.97,0.03
13,1,"Barcin","Cal",0.03,0.31,0.66
14,1,"Barcin","Mtt_prox",0.01,0.67,0.32
15,1,"Barcin","Tib_dist",0,0.2,0.8
16,1,"Barcin","PH2",0,0.99,0.01
17,1,"Barcin","Ast",0.01,0.75,0.24
18,1,"Barcin","PH1",0,0.96,0.04
19,1,"Barcin","PH1",0,0.03,0.97
20,1,"Barcin","Mtt_dist",1,0,0
21,1,"Barcin","PH2",0,0.92,0.08
22,1,"Barcin","Ast",0.21,0.78,0.01
23,1,"Barcin","Tib_dist",1,0,0
24,1,"Barcin","Mtt_dist",0,0.24,0.76
25,1,"Barcin","Mtt_prox",0.05,0.93,0.02
26,1,"Barcin","PH1",0.01,0.96,0.03
27,1,"Barcin","Ast",0.01,0.73,0.26
28,1,"Barcin","PH2",1,0,0
29,1,"Barcin","Mtc_prox",0.11,0.87,0.02
30,1,"Barcin","Ast",0,0.16,0.84
31,1,"Barcin","PH2",0,0.15,0.85
32,1,"Barcin","Ast",0,0.31,0.69
33,1,"Barcin","PH2",0,0.99,0.01
34,1,"Barcin","PH2",1,0,0
35,1,"Barcin","PH2",0.99,0.01,0
36,1,"Barcin","PH2",1,0,0
37,1,"Barcin","PH1",0.05,0.93,0.01
38,1,"Barcin","Mtt_dist",0,0.9,0.1
39,1,"Barcin","PH1",0,0.99,0.01
40,1,"Barcin","PH1",1,0,0
41,1,"Barcin","Cal",0.06,0.84,0.1
42,1,"Barcin","PH1",0,0.99,0.01
43,1,"Barcin","PH2",0,0.99,0.01
44,1,"Barcin","PH2",0,0.98,0.02
45,1,"Barcin","Mtt_prox",0.05,0.93,0.02
46,1,"Barcin","Mtt_dist",0,0.45,0.55
47,1,"Barcin","Cal",1,0,0
48,1,"Barcin","PH1",0.99,0.01,0
49,1,"Barcin","PH1",1,0,0
50,1,"Barcin","PH2",1,0,0
51,1,"Barcin","Cal",0,0.83,0.17
52,1,"Barcin","PH2",0,0.01,0.99
53,1,"Barcin","PH1",0,0.02,0.98
54,1,"Barcin","PH2",0,0.99,0.01
55,1,"Barcin","PH2",0,0.99,0.01
56,1,"Barcin","PH1",0.83,0.16,0
57,1,"Barcin","Rad_prox",1,0,0
58,1,"Barcin","Rad_dist",0.99,0.01,0
59,1,"Barcin","PH1",0.99,0.01,0
60,1,"Barcin","PH1",1,0,0
61,1,"Barcin","Tib_dist",0,0.96,0.04
62,1,"Barcin","PH2",1,0,0
63,1,"Barcin","PH2",0,0.98,0.02
64,1,"Barcin","Mtc_dist",1,0,0
65,1,"Barcin","PH1",0,0.82,0.18
66,1,"Barcin","PH2",1,0,0
67,1,"Barcin","Rad_prox",0.01,0.49,0.51
68,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.93,0.07
69,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.91,0.09
70,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.93,0.07
71,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
72,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0.95,0.05,0
73,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.86,0.14
74,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0,1
75,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.96,0.04
76,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.06,0.94
77,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.99,0.01
78,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.02,0.01,0.98
79,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.99,0.01
80,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_prox",0.06,0.88,0.06
81,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.98,0.02
82,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.99,0.01
83,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.09,0.56,0.36
84,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_prox",0.16,0.79,0.06
85,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0.57,0.39,0.04
86,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.71,0.29
87,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.13,0.76,0.12
88,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.16,0.83,0.01
89,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.58,0.42
90,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.13,0.76,0.11
91,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.08,0.65,0.27
92,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_dist",0,0.87,0.13
93,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
94,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.96,0.04
95,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0,0.92,0.08
96,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.06,0.78,0.16
97,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.17,0.77,0.06
98,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.8,0.2
99,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.81,0.19
100,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,1,0
101,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.22,0.78,0.01
102,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.89,0.11
103,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
104,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.98,0.02
