"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
0.16,0.16,0.04,0.11,0.24,1,3968,3237,"Site 1 pi_1"
0.48,0.49,0.1,0.31,0.65,1,3710,3496,"Site 2 pi_1"
0.35,0.35,0.11,0.18,0.54,1,3992,3452,"Site 3 pi_1"
0.18,0.17,0.05,0.11,0.27,1,4769,3036,"Site 4 pi_1"
0.45,0.45,0.11,0.25,0.62,1,5229,3519,"Site 5 pi_1"
0.38,0.37,0.12,0.2,0.58,1,5383,3275,"Site 6 pi_1"
0.14,0.14,0.04,0.08,0.2,1,3156,3556,"Site 7 pi_1"
0.32,0.32,0.1,0.15,0.48,1,2188,2512,"Site 8 pi_1"
0.54,0.53,0.1,0.38,0.71,1,2388,2859,"Site 9 pi_1"
0.18,0.18,0.04,0.12,0.26,1,3658,3517,"Site 10 pi_1"
0.45,0.46,0.1,0.28,0.61,1,4484,3839,"Site 11 pi_1"
0.36,0.36,0.1,0.2,0.54,1,4906,3862,"Site 12 pi_1"
0.15,0.15,0.04,0.09,0.21,1,3318,3642,"Site 13 pi_1"
0.47,0.47,0.07,0.34,0.59,1,3887,3902,"Site 14 pi_1"
0.38,0.38,0.07,0.26,0.5,1,4156,3361,"Site 15 pi_1"
0.16,0.16,0.04,0.1,0.23,1,4480,3787,"Site 1 pi_2"
0.59,0.59,0.1,0.41,0.74,1,3737,3305,"Site 2 pi_2"
0.25,0.24,0.1,0.1,0.44,1,3704,3116,"Site 3 pi_2"
0.16,0.16,0.04,0.1,0.24,1,5010,3631,"Site 4 pi_2"
0.54,0.55,0.11,0.35,0.72,1,4399,3306,"Site 5 pi_2"
0.29,0.28,0.12,0.11,0.51,1,4859,3441,"Site 6 pi_2"
0.16,0.16,0.04,0.1,0.23,1,4094,3673,"Site 7 pi_2"
0.53,0.53,0.1,0.35,0.69,1,3459,3065,"Site 8 pi_2"
0.32,0.31,0.11,0.15,0.5,1,3762,3167,"Site 9 pi_2"
0.19,0.19,0.05,0.13,0.28,1,3056,3571,"Site 10 pi_2"
